"Summary","Issue Type","Parent ID","Status","Description"
"INF-01 - Kubernetes Cluster Setup","Task","","To Do","Set up Docker Desktop on local machine"
"Enable Kubernetes on Docker Desktop","Sub-task","INF-01 - Kubernetes Cluster Setup","To Do","Enable Kubernetes on Docker Desktop"
"INF-02 - Jenkins Server Setup","Task","","To Do","Install Jenkins using Helm"
"Configure Jenkins agents as pods","Sub-task","INF-02 - Jenkins Server Setup","To Do","Configure Jenkins agents as pods"
"Install necessary plugins (e.g., Kubernetes, Git, etc.)","Sub-task","INF-02 - Jenkins Server Setup","To Do","Install necessary plugins (e.g., Kubernetes, Git, etc.)"
"Set up Jenkins pipelines for feature and main branches","Sub-task","INF-02 - Jenkins Server Setup","To Do","Set up Jenkins pipelines for feature and main branches"
"Integrate Jenkins Prometheus exporter (Bonus)","Sub-task","INF-02 - Jenkins Server Setup","To Do","Integrate Jenkins Prometheus exporter"
"Customize Jenkins UI (Avatar, additional changes) (Bonus)","Sub-task","INF-02 - Jenkins Server Setup","To Do","Customize Jenkins UI (Avatar, additional changes)"
"INF-03 - ArgoCD Setup","Task","","To Do","Install ArgoCD using Helm"
"Connect the application to ArgoCD for deployment","Sub-task","INF-03 - ArgoCD Setup","To Do","Connect the application to ArgoCD for deployment"
"Write detailed README for ArgoCD setup","Sub-task","INF-03 - ArgoCD Setup","To Do","Write detailed README for ArgoCD setup"
"Customize ArgoCD UI (Logo, Banner) (Bonus)","Sub-task","INF-03 - ArgoCD Setup","To Do","Customize ArgoCD UI (Logo, Banner)"
"INF-04 - Prometheus & Grafana Setup","Task","","To Do","Install Prometheus and Grafana using Helm"
"Configure Prometheus for metrics collection","Sub-task","INF-04 - Prometheus & Grafana Setup","To Do","Configure Prometheus for metrics collection"
"Configure Grafana for dashboard visualization","Sub-task","INF-04 - Prometheus & Grafana Setup","To Do","Configure Grafana for dashboard visualization"
"Write README for Prometheus and Grafana setup","Sub-task","INF-04 - Prometheus & Grafana Setup","To Do","Write README for Prometheus and Grafana setup"
"Customize Grafana UI (Avatar logo) (Bonus)","Sub-task","INF-04 - Prometheus & Grafana Setup","To Do","Customize Grafana UI (Avatar logo)"
"INF-05 - MongoDB Database Setup","Task","","To Do","Install MongoDB using Helm or kubectl"
"Configure MongoDB for the application","Sub-task","INF-05 - MongoDB Database Setup","To Do","Configure MongoDB for the application"
"APP-01 - Python3 Application Development","Task","","To Do","Develop core application logic in Python3"
"Set up database layer between application and MongoDB","Sub-task","APP-01 - Python3 Application Development","To Do","Set up database layer between application and MongoDB"
"APP-02 - Dockerize the Application","Task","","To Do","Write Dockerfile for the backend (Flask app)"
"Write Dockerfile for MongoDB (if necessary)","Sub-task","APP-02 - Dockerize the Application","To Do","Write Dockerfile for MongoDB"
"Build and push Docker images to DockerHub","Sub-task","APP-02 - Dockerize the Application","To Do","Build and push Docker images to DockerHub"
"APP-03 - Write Unit Tests","Task","","To Do","Write unit tests for each feature of the application"
"Set up Pytest to run in the CI pipeline","Sub-task","APP-03 - Write Unit Tests","To Do","Set up Pytest to run in the CI pipeline"
"APP-04 - Database Integration","Task","","To Do","Implement database access layer for MongoDB"
"Connect database layer to Flask application","Sub-task","APP-04 - Database Integration","To Do","Connect database layer to Flask application"
"APP-05 - Web Frontend Development","Task","","To Do","Develop the frontend in Flask or another language"
"Add student's avatar to frontend (Bonus)","Sub-task","APP-05 - Web Frontend Development","To Do","Add student's avatar to frontend"
"APP-06 - Helm Deployment","Task","","To Do","Write Helm chart for application deployment"
"Test Helm chart deployment on Kubernetes","Sub-task","APP-06 - Helm Deployment","To Do","Test Helm chart deployment on Kubernetes"
"Set up Kubernetes job for post-deployment sanity check (Bonus)","Sub-task","APP-06 - Helm Deployment","To Do","Set up Kubernetes job for post-deployment sanity check"
"PIPE-01 - Feature Branch CI Pipeline","Task","","To Do","Set up Jenkins CI pipeline for feature branch"
"Automate build, test, and deployment stages","Sub-task","PIPE-01 - Feature Branch CI Pipeline","To Do","Automate build, test, and deployment stages"
"PIPE-02 - Main Branch CI Pipeline","Task","","To Do","Set up Jenkins CI pipeline for main branch"
"Automate build, test, and deployment for main branch","Sub-task","PIPE-02 - Main Branch CI Pipeline","To Do","Automate build, test, and deployment for main branch"
"PIPE-03 - Continuous Deployment Pipeline","Task","","To Do","Set up CD pipeline for all environments (Dev, Staging, Prod)"
